match_id,compound_score,n_chat_messages,avg_mmr,match_id,label
5175,-0.4455000000000001,12,3505.423268606124,5175,neg
5176,0.0,8,3461.583380265672,5176,neu
5179,1.2838,5,3078.651832649045,5179,pos
5187,-0.2898,13,3609.593264795876,5187,neg
5192,4.7021,35,3218.195255013601,5192,pos
5196,-0.6435,34,3581.154315386022,5196,neg
5197,0.13579999999999998,26,3007.0484262642267,5197,pos
5201,3.5606,24,3623.98318593829,5201,pos
5202,3.4638,43,3175.5867371366458,5202,pos
5203,-0.020600000000000174,51,3534.9746138795363,5203,neu
5204,2.8301,9,3617.03584720347,5204,pos
5206,0.45899999999999996,7,3420.556912457388,5206,pos
5207,0.15389999999999998,6,3355.7969555028285,5207,pos
5210,1.8500999999999999,28,3597.80315703215,5210,pos
5212,0.04539999999999994,92,3544.515476771667,5212,neu
5215,1.7578,13,3378.7328730963127,5215,pos
5216,2.0603,10,2868.7788322333217,5216,pos
5217,-1.1783,22,3650.670424208429,5217,neg
5218,-0.0677000000000001,25,3144.400177594054,5218,neg
5219,0.48269999999999985,12,3363.9248669829126,5219,pos
5224,1.3667,20,3296.1848857990285,5224,pos
5229,4.428599999999999,24,3043.3004617848223,5229,pos
5230,1.6026,14,3558.866613210789,5230,pos
5232,6.7823,65,3454.699454791168,5232,pos
5233,4.9876,41,3407.270179202037,5233,pos
5234,1.2,7,3311.0429198358725,5234,pos
5236,-1.8808000000000002,88,3657.6689210300374,5236,neg
5238,1.554,10,2971.2117378990165,5238,pos
5239,2.7851,14,3569.5466589496004,5239,pos
5241,2.0883,53,3560.323128700609,5241,pos
5243,1.434,7,3306.2901566703185,5243,pos
5249,1.0882,9,3340.4285593406494,5249,pos
5254,2.2111,21,3190.944571378588,5254,pos
5266,2.7491,43,3491.6259724799743,5266,pos
5289,-1.2227,17,3166.168564121425,5289,neg
5293,-0.5241000000000001,30,3336.7767445779377,5293,neg
5318,1.8746,47,3501.6801675949414,5318,pos
7671,5.814,44,3368.8154784235667,7671,pos
7692,2.3019,12,3413.695373242504,7692,pos
7708,6.971,60,3214.069034922674,7708,pos
7710,0.3917999999999999,15,3231.669677624423,7710,pos
7712,-6.398000000000001,52,3469.9284219072256,7712,neg
7713,0.7558,9,3383.6073303788726,7713,pos
7719,1.5859999999999999,14,3644.700029197093,7719,pos
7721,1.1289,12,3500.7437124542994,7721,pos
7726,2.794,61,3144.127149825192,7726,pos
7729,0.296,1,2999.57440278882,7729,pos
7738,0.19129999999999997,28,3335.5308722786663,7738,pos
7741,0.6607000000000001,15,3481.068018842779,7741,pos
7742,1.3986,10,3596.6648608243077,7742,pos
7744,4.1429,22,3453.7118990773115,7744,pos
7750,0.7547999999999999,4,3530.0294573504,7750,pos
7755,1.4712999999999998,50,3603.09457720767,7755,pos
7757,1.6146,8,3420.1583226877315,7757,pos
7758,3.5913999999999997,31,2998.803715107835,7758,pos
7760,3.5359,36,3410.788072757265,7760,pos
7761,1.7911000000000001,16,3431.545948848621,7761,pos
7762,2.6683,36,3122.946209344507,7762,pos
7764,1.2386,12,3208.808099956756,7764,pos
7765,-0.7932000000000002,28,3527.0117242992387,7765,neg
7768,4.7477,21,3163.6463850153764,7768,pos
7770,1.7913999999999999,19,3544.9827697092564,7770,pos
7773,10.3898,76,3448.16580095537,7773,pos
7778,3.0691,44,3647.993492313489,7778,pos
7780,2.1212999999999997,24,3524.2187153638984,7780,pos
7781,0.2841,8,3651.613148052256,7781,pos
7782,-3.7082,60,3533.663003827053,7782,neg
7785,1.0859,5,3630.1271829650054,7785,pos
7792,0.4185000000000001,42,3450.101664507239,7792,pos
7793,3.6060999999999996,60,3532.1296683853548,7793,pos
7794,1.1654,57,3622.832094599297,7794,pos
7798,0.4215,3,3439.104844501298,7798,pos
7799,6.4978,30,3221.440677929463,7799,pos
7801,-0.24680000000000002,11,3612.9963411960034,7801,neg
7802,0.4722,8,3439.722718695634,7802,pos
7804,3.6283,27,3374.9658359630434,7804,pos
7807,2.2889999999999997,10,3588.0277041863,7807,pos
7810,2.5463999999999998,23,3138.204874386872,7810,pos
7811,2.4283,18,3665.5887518634863,7811,pos
7813,-0.26790000000000025,32,3408.2975705791814,7813,neg
7816,3.0373000000000006,138,3074.9547697896137,7816,pos
7821,2.0467,16,3354.074136528755,7821,pos
7822,1.6055,7,3578.0756401164494,7822,pos
7824,0.6148,8,3029.289386763487,7824,pos
7825,3.7622,82,3583.7527256036965,7825,pos
7827,0.40839999999999993,50,3651.934980993347,7827,pos
7832,1.48,7,3279.9771424810324,7832,pos
7833,0.015099999999999947,27,3241.974901923124,7833,neu
7840,2.3379000000000003,34,3529.8959119621845,7840,pos
7844,1.9266,13,3550.9813695564944,7844,pos
7845,-0.9678000000000001,55,3481.9206490989936,7845,neg
7847,-7.1396,96,3214.2212541014046,7847,neg
7848,0.5196,11,3198.264586440659,7848,pos
7849,1.6873,12,3543.017658461708,7849,pos
7851,3.8903,18,3414.226140564768,7851,pos
7852,0.296,2,3623.800399443725,7852,pos
